id,destination_id,titre,description,prix,prix_public,duree,langues,inclusions,categorie,profil_cible,horaires,conditions_annulation
59645,560,Visite privée à pied de Montréal avec guide touristique agréé,,323.36,376,2 heures,Français|Anglais,,,solo,,
54445,560,Excursion privée au parc Omega et pavillon Montebello depuis Montréal,,329.38,383,6 heures à 8 heures,Français|Anglais|Écrit,,,solo,,
72758,560,La Grande Roue de Montréal : Billet d'entrée à la Grande Roue,,22.36,28,,,,,general,,
72759,560,Musée des illusions Montréal : Billet d'entrée,,24.08,30,,,,,general,,
58488,5572,Visite d'Auschwitz Birkenau avec prise en charge et déjeuner,,61.92,72,4 heures à 7 heures,Français|Anglais,,,general,,
53602,5572,Auschwitz Birkenau : visite guidée partagée avec transport privé,,383.56,446,7 heures,,,,solo,,
39575,5572,Wieliczka : visite de la mine de sel,,73.10,85,4 heures 30 minutes,,,,general,,
61172,5572,Cracovie : Visite guidée de l'usine Schindler,,30.10,35,1 heure 30 minutes,Français|Anglais,,,general,,
59069,5572,Tour d'Auschwitz et de Birkenau,,41.28,48,4 heures à 7 heures,Français|Anglais,,,general,,
55620,5572,Visite privée à pied des points forts de la vieille ville de Cracovie,,82.56,96,2 heures à 6 heures,Français|Anglais,,,solo,,
53605,5572,Cracovie : concert de piano Chopin,,24.94,29,1 heure 30 minutes,,,,general,,
53604,5572,Wieliczka : visite partagée de la mine de sel avec transfert privé,,256.28,298,4 heures 30 minutes,,,,solo,,
53601,5572,Colline de Wawel : visite du château avec guide privé,,437.74,509,1 heure 30 minutes,,,,solo,,
58474,5572,De Cracovie: visite guidée en groupe de la mine de sel de Wieliczka,,21.50,25,1 heure à 5 heures,Français|Anglais,,,groupe,,
57558,5572,Cracovie: visite guidée du château de Wawel et de la cathédrale,,56.76,66,2 heures,Français|Anglais,,,general,,
58487,5572,Cracovie : visite guidée de la ville en voiturette de golf,,47.30,55,1 heure à 2 heures 30 minutes,Français|Anglais|Audio,,,general,,
39622,5572,Château Wawel : visite guidée au départ de Wawel,,24.94,29,2 heures,,,,general,,
61152,5572,Zakopane et thermes : visite au départ de Cracovie,,48.16,56,11 heures,Anglais|Écrit,,,general,,
59059,5572,Les traces de la culture juive de Cracovie,,61.92,72,3 heures 30 minutes,Français|Anglais,,,general,,
58486,5572,Excursion à Cracovie autour de la Vodka,,85.14,99,2 heures 30 minutes,Anglais,,,general,,
39577,5572,Cracovie : citypass,,41.28,48,,,,,general,,
70584,5572,Visite privée du château et de la cathédrale de Wawel,,144.48,168,2 heures à 3 heures,Français|Anglais,,,solo,,
61155,5572,Cracovie: champ de tir extrême avec prise en charge à l'hôtel,,24.94,29,2 heures 30 minutes,Anglais,,,general,,
67757,5572,Location de scooter électrique à Cracovie pendant 4 heures,,25.80,30,4 heures,Anglais,,,general,,
61171,5572,"ZAKOPANE et SOURCES THERMIQUES, Funiculaire, Dégustation de fromages",,49.02,57,11 heures,Anglais|Écrit,,,general,,
58484,5572,Expérience en soirée aux thermes de Chocholow au départ de Cracovie,,63.64,74,8 heures,Anglais,,,general,,
71483,5572,Visite guidée d'Auschwitz-Birkenau avec transport privé au départ de Cracovie,,93.74,109,7 heures à 8 heures,Français|Anglais|Écrit,,,solo,,
61164,5572,Visite de dégustation de plats à Cracovie avec Delicious Poland,,101.48,118,3 heures,Anglais,,,general,,
58483,5572,Motoneiges et piscines thermales de Cracovie,,102.34,119,11 heures,Anglais|Écrit,,,general,,
73416,5572,Visite de la mine de sel de Wieliczka avec chauffeur privé depuis Cracovie,,161.68,188,4 heures,Français,,,solo,,
52677,5113,Keukenhof : entrée coupe-file au départ d'Amsterdam,,31.82,37,6 heures,,,,general,,
54983,5113,Musée Van Gogh Amsterdam : billet d'entrée avec audioguide,,30.10,44,,,,,general,,
62092,5113,"I amsterdam City Card : Pass 100+ musées, attractions et transports publics",,70.52,98,,,,,general,,
44088,5113,Amsterdam : visite guidée à vélo,,35.26,50,,Français,,,general,,
44332,5113,Musée Moco Amsterdam : billet d'entrée,,19.78,28,,Audio|Français|Anglais,,,general,,
52907,5113,"Depuis Amsterdam : Zaanse Schans, Edam, Volendam et Marken",,27.52,32,6 heures 30 minutes,Anglais,,,general,,
72368,5113,Balade à travers l'histoire fascinante d'Anne Frank,,30.96,36,2 heures,Français,,,general,,
52679,5113,Keukenhof  : billet coupe-file avec croisière au départ d'Amsterdam,,53.32,62,6 heures,,,,couple,,
55412,5113,Musée Madame Tussauds à Amsterdam : billet d'entrée,,16.34,23,,,,,general,,
55418,5113,Musée Upside Down à Amsterdam : billet d'entrée,,25.80,36,,,,,general,,
72291,5113,Amsterdam: visite à vélo avec un guide local français,,34.40,40,2 heures 30 minutes,Français|Audio|Écrit,,,general,,
55694,5113,"Excursion aux moulins de Zaanse Schans, à Marken et à Volendam",,42.14,49,7 heures,Anglais|Audio,,,general,,
74376,5113,Amsterdam : croisière sur les canaux depuis la gare centrale,,14.62,17,1 heure,Audio|Français|Anglais,,,couple,,
72178,5113,Musée Heineken Experience Amsterdam : billet d'entrée,,27.52,39,,Anglais|Audio,,,general,,
44877,5113,City Sightseeing Amsterdam : Visite en bus touristique Hop-on Hop-off,,30.96,44,,Audio|Français|Anglais,,,general,,
49415,5113,Amsterdam : croisière touristique et billet d'entrée à la Heineken Experience,,40.42,58,,Audio|Anglais,,,couple,,
52678,5113,Keukenhof : excursion guidée au départ d'Amsterdam,,78.26,91,8 heures 30 minutes,Anglais,,,general,,
54040,5113,Rijksmuseum : excursion guidée en petit groupe,,84.28,98,2 heures 30 minutes,Anglais,,,groupe,,
71150,5113,Excursion d'une journée à la Parade des Fleurs et à Keukenhof depuis Amsterdam,,133.30,155,10 heures,,,,general,,
55858,5113,Les canaux d'Amsterdam : croisière de 75 minutes,,13.76,16,1 heure 15 minutes,Audio|Français|Anglais,,,couple,,
74352,5113,XtraCold Icebar Amsterdam : billet d'entrée,,20.64,24,1 jour,,,,general,,
74375,5113,Body Worlds Amsterdam : billet d’entrée coupe file,,20.64,24,1 jour,,,,general,,
72149,5113,Musée Stedelijk Amsterdam : billet d'entrée,,23.22,33,,Audio|Anglais,,,general,,
74386,5113,Visite classique en bateau à Amsterdam avec fromage et vin,,31.82,37,1 heure et 30 minutes,,,,general,,
74366,5113,Amsterdam : croisière sur les canaux avec pizza,,31.82,37,1 heure 15 minutes,,,,couple,,
72148,5113,Zoo Royal ARTIS : billet d'entrée,,31.82,44,,,,,general,,
74363,5113,"Amsterdam : visite des moulins, Marken et Volendam",,40.42,47,5 heures 30 minutes,Audio|Français|Anglais,,,general,,
74364,5113,"Au départ d'Amsterdam : Rotterdam, Delft et La Haye",,51.60,60,9 heures,,,,general,,
74365,5113,Visite d'une journée à Giethoorn,,53.32,62,7 heures et 30 minutes,,,,general,,
71147,5113,"Excursion d'une journée à Giethoorn depuis Amsterdam, croisière authentique sur les canaux et visite à pied",,61.06,71,8 heures,,,,couple,,
64230,5113,Excursion d'une journée à Paris à partir d'Amsterdam,,71.38,83,24 heures,,,,general,,
74367,5113,Amsterdam : dîner croisière sur les canaux,,79.98,93,2 heures,,,,couple,,
41800,5113,Rembrandts Experience à Amsterdam : billet d'entrée,,17.20,24,,Audio|Français|Anglais,,,general,,
49356,5113,Ripley's Believe It or Not! Amsterdam : billet d'entrée,,23.22,33,,,,,general,,
54390,5113,Parc d'attraction Madurodam : billet d'entrée,,24.08,34,,,,,general,,
52922,5113,"Depuis Amsterdam : Volendam, Marken, Edam et les moulins à vent",,36.98,43,5 heures 30 minutes,Anglais,,,general,,
54872,5113,Visite guidée privée dans Amsterdam avec un guide local,,234.78,273,3 heures,Français|Anglais,,,solo,,
54054,5113,Visite privée à pied d'Anne Frank et du quartier juif d'Amsterdam,,244.24,284,2 heures,Français|Anglais,,,solo,,
55608,5113,Pass à Amsterdam : Carte de la fête des tulipes,,0,0,15-25 minutes,,,,general,,
54283,5113,Visite privée de Delft et de La Haye au départ d'Amsterdam,,0,0,6 heures,,,,solo,,
73678,5113,Musée de la tulipe : billet d'entrée,,6.88,9,,,,,general,,
72518,5113,Amsterdam : croisière romantique en soirée,,12.90,16,01:00,,,,couple,,
74381,5113,Amsterdam : croisière sur les canaux depuis le Rijksmuseum,,14.62,17,1 heure,,,,couple,,
74378,5113,Amsterdam : croisière sur les canaux au départ de la maison d’Anne Frank,,14.62,17,1 heure,,,,couple,,
74379,5113,Amsterdam : croisière sur les canaux depuis la place Leidse,,14.62,17,1 heure,,,,couple,,
72670,5113,Vieille église d'Amsterdam,,16.34,20,,,,,general,,
72671,5113,La nouvelle église d'Amsterdam,,20.64,25,,,,,general,,
74368,5113,Musée Red Light Secrets et croisière sur le canal,,22.36,26,1 jour,,,,couple,,
74374,5113,Amsterdam : pass 24h en bus Hop on Hop off,,26.66,31,Billets valables jusqu'à 24 heures,,,,general,,
